Day,9.00-10.00,10.00-11.00,11.15-12.15,12.15-1.15,1.15-2.15,2.15-3.15,3.15-4.15,4.15-5.15,5.15-6.15
MON,OS (LH24),DSC LH(21),M3 LH21,AIML(A1)(NCN1A),,,,SPORTS/YOGA,
TUE,DSC(A2) (OOps),DSC(D2)(DSC),SEPM LH24,AIML LH(21),,,,SPORTS/YOGA,
WED,M3 LH22,OOPSWJ 1 LH21,ADE (B3),DSC(C2)/OOPs(B2),,,,SPORTS/YOGA,
THU,CN LH21,SS&CD (LH22),AIML LH12,AI&ML(B2),,,,SPORTS/YOGA,
FRI,,,ADE LH(22),DSC(C3)/OOPs(C1),,,,,
